remedy,symptom_text,body_part,modality,source_book,severity,confidence_hint
Calendula,it hurts when idiopathic neuroma (cepa); neuritis from lacerated wounds,,,,,
Collinsonia Canadensis,"i have pelvic and portal congestion, resulting in dysmenorrhoea and",,,,,
Digitalis Purpurea,"i noticed irregular intermitting pulse, occurring at the climacteric; < by least",,,,,
Phosphate of Magnesia,"it gets worse when - compare: bell., caul., col., lyc., lac c., puls.; cham",,,,,
Ignatia,i feel mental sufferings; of shame and mortification (staph.),,,,,
Crocus Sativus,"it hurts when hysteria with great hilarity, singing and dancing (tar.); alternating",,,,,
Kreosotum,i have (iod.); post climacteric diseases of women (lach.),,,,,
Bismuth,"having solitude is unbearable; desires company, child holds on to its lately",,,,,
Anthracinum,i am experiencing anthrax poison,,,,,
Bacillinum,"suffering from strange, as though in a strange place",,,,,
Tartar Emetic,having coughs there appears to be a large collection of mucus in the lately,,,,,
Strych,suffering from aggravation,,,,,
Cuprum Metallicum,"the tongue, like a snake (lach.)",general,not specified,Allen,moderate,0.8
Ferrum Metallicum,i feel t.); painless with a good appetite; of consumptives,,,,,
Platina,"it gets worse when things produce profound vexation (ign., staph.); remains a long",,,,,
Rhus,having - cold air; cold washing; at night; touch or motion; lately,,,,,
Cocculus,"i have - compare: ign., nux, in chorea and paralytic",,,,,
Kali Bichromicum,having prone to extend downwards to larynx and trachea (lac c lately,,,,,
Sulphur,i noticed boils: coming,,,,,
Rhus Toxicodendron,"the hand from under the bed-cover brings on cough (bar., hep.)",general,not specified,Allen,moderate,0.8
Calcarea Ostrearum,i am experiencing pit of stomach,,,,,
Spongia Tosta,"it gets worse when bruised, squeezed; after suppressed gonorrhoea or maltreated",,,,,
Sanguinaria,"my problem is and shoulder (left, fer.); cannot raise the arm, < at night",,,,,
Carbo Vegetabilis,suffering from from effects of typhoid (psor.),,,,,
Aurum Metallicum,"suffering from pinning boys; low-spirited, lifeless, weak memories,",,,,,
Colocynthis,- anger and indignation; mortification caused by,general,not specified,Allen,moderate,0.8
Sanicula,i noticed symptoms constantly changing (lac,,,,,
Alumina,"having of chronic diseases."" lately",,,,,
Rumex Crispus,having sensation in larynx and trachea when coughing (caust.) lately,,,,,
Nitric Acid,"i noticed syphilis, scrofula; in broken-down cachetic constitutions",,,,,
Kali Carbonicum,she must give up and lie down,general,not specified,Allen,moderate,0.8
Caulophyllum,having irregularities lately,,,,,
Cantharides,"i feel every part of the body, internally and externally; with extreme",,,,,
Apis Mellifica,"m., with thirst, always (ign.); < warm room and from external heat",general,not specified,Allen,moderate,0.8
Spigelia,"it hurts when prosopalgia: periodical, left-sided, orbit, eyes, malar bone, teeth;",,,,,
Conium Maculatum,"having dreads being alone, yet avoids society (kali c., lately",,,,,
Trillium Pendulum,it hurts when purulent expectoration and troublesome cough,,,,,
Cannabis Sativa,"i noticed dyspnoea or asthma, where the patient can only breathe by",,,,,
Tartar Emetic,i feel children not easily impressed when ant,,,,,
Phosphoric Acid,suffering from glacial phosphoric acid,,,,,
Nux Moschata,having keynotes by h.c lately,,,,,
Asarum Europaeum,"i have light, and wind are intolerable",,,,,
Petroleum,my problem is in the bed (val.),,,,,
Cannabis Indica,my problem is great apprehension of approaching,,,,,
Sepia,it gets worse when above named symptoms,,,,,
Ignatia,"haemorrhoids: prolapse with every stool, have to be replaced;",general,not specified,Allen,moderate,0.8
Natrum Muriaticum,"my problem is of hair at nape of neck (in bend of knees, hep., graph.)",,,,,
Sepia,and all uterine affections,general,not specified,Allen,moderate,0.8
Nux Vomica,"i feel tabacco, alcoholic stimulants; highly spiced or seasoned food;",,,,,
Croton Tiglium,it gets worse when eating or nursing (arg,,,,,
Rhus Toxicodendron,suffering from when stepping or shaking the head; sensation of swashing in brain;,,,,,
Ammonium Muriaticum,"- on lying down, kreos.)",general,not specified,Allen,moderate,0.8
Sulphuric Acid,having feels in a great hurry; everything lately,,,,,
Amylenum Nitrosum,"suffering from face flushes at the slightest emotion (coca, fer.)",,,,,
Opium,(gels.); black and offensive; from paralysis of sphincter,general,not specified,Allen,moderate,0.8
Digitalis Purpurea,"having blueness of skin, eyelids; lips lately",,,,,
Aloe Socotrina,"it hurts when adapted to indolent, ""weary"" persons; averse to either mental or",,,,,
Caulophyllum,i feel after pains: after long exhausting,,,,,
Zincum Metallicum,i have the flow ceases,,,,,
Chamomilla,i have mental calmness contra-indicates,,,,,
Rhus,i feel with rough weather,,,,,
Asterias Rubens,gait unsteady: muscles refuse to obey the,general,not specified,Allen,moderate,0.8
Pulsatilla,my problem is aggravation,,,,,
Petroleum,vertigo on rising (bry.); in occiput; as if,general,not specified,Allen,moderate,0.8
Stramonium,it hurts when especially upper part of body; chorea,,,,,
Arsenic Album,having burning pain >  by heat; fissures make voiding urine difficult lately,,,,,
Lachesis,"it hurts when c., grind., lac c.,",,,,,
Aconitum Napellus,i am experiencing amelioration,,,,,
Rhus Toxicodendron,i have lying on something hard,,,,,
Psorinum,my problem is debility; during climaxis,,,,,
Pyrogen,i feel after apparent simillimum,,,,,
Petroleum,"i am experiencing itching, redness; skin cracked, rough, bleeding; dry or moist",,,,,
Carbo Animalis,it gets worse when joints weak; easily sprained by,,,,,
Opium,"i noticed excessive use of tobacco; in nursing children, after passion of",,,,,
Conium Maculatum,it hurts when keynotes by h.c,,,,,
Baryta Carbonica,i am experiencing - when thinking of his disease (oxal,,,,,
Anacardium Orientale,sedentary persons (arg,general,not specified,Allen,moderate,0.8
Cuprum Metallicum,"i feel cramps in the extremeties; pains, soles, calves with great",,,,,
Sulph,"i feel - warm, dry weather, wrapping up; warm or hot",,,,,
Coca,solitude and obscurity,general,not specified,Allen,moderate,0.8
Coffee Cruda,"i have (bis., bry., puls., caust., sep., nat",,,,,
Rheum,"i am experiencing suitable for children, especially during dentition",,,,,
Camphora,i have sudden attacks of vomiting and diarrhoea; nose cold,,,,,
Amylenum Nitrosum,i noticed prostration,,,,,
Mercurius Biniodide,i am experiencing intolerable burning in for part of urethra when passing last few,,,,,
Ambra Grisea,"having great sadness, sits lately",,,,,
Phyt,i have keynotes by h.c,,,,,
Spongia Tosta,i have drops into a chair instead of sitting down,,,,,
Reised was the first to potentize it,i noticed keynotes by h.c,,,,,
Nitric Acid,it hurts when wagon over paved streets; headache from pressure of hat (cal,,,,,
Calendula,i am experiencing keynotes by h.c,,,,,
Platina,i feel disappear and vice versa,,,,,
Chamomilla,keynotes by h.c,general,not specified,Allen,moderate,0.8
Podophyllum,"having pain and numbness in right ovary, lately",,,,,
Staphisagria,it hurts when toothache: during menses; sound as well as decayed teeth;,,,,,
Pa,"i noticed to simplify its study, to make it both interesting and",,,,,
Ruta Graveolens,"back of hands, dul.)",general,not specified,Allen,moderate,0.8
Cocculus,i feel in sweat of affected parts,,,,,
Cantharides,it gets worse when apply an alcoholic solution of any potency and cover with cotton;,,,,,
Ignatia,"incredibly short time, change from joy to sorrow, from laughing to",general,not specified,Allen,moderate,0.8
Arnica Montana,i noticed spoken to answers correctly but unconsciousness and delirium at,,,,,
Sanicula,"evacuation of small dry, gray balls, must be removed mechanically",general,not specified,Allen,moderate,0.8
Bovista,great weakness of joints and,general,not specified,Allen,moderate,0.8
Natrum Carbonicum,having aggravations lately,,,,,
Euphrasia,"i noticed menses: painful, regular,",,,,,
Antimony Crudum,cannot bear,general,not specified,Allen,moderate,0.8
Colocynthis,it gets worse when - from doubling up; hard pressure,,,,,
Borax,it hurts when horseback riding (compare sanic.),,,,,
Aethusa Cynapium,"prostration with sleepiness; after vomiting, after stool, after spasm",general,not specified,Allen,moderate,0.8
Arsenic Album,"i have incurable, is surely going to die; dread of death, when alone, or,",,,,,
Antimony Crudum,"i have abject despair, suicide by drowning",,,,,
Silicea,"it hurts when sweat (cup., graph., psor.); exposing the head or back to any",,,,,
Secale Cornutum,i am experiencing resembles colchicum,,,,,
Very much inclined to take cold,it gets worse when - complementary: carbo veg,,,,,
Kali Bichromicum,having affections of the mucous membranes lately,,,,,
Syphillinum,"i have diplopia, one image seen",,,,,
Terebinth,i feel spasmodic retention of urine,,,,,
Mercurius Biniodide,having cheesy bottom and inverted red edges; with phymosis or lately,,,,,
Sulphur,suffering from keynotes by h.c,,,,,
Allium Cepa,having aggravation lately,,,,,
Natrum Muriaticum,"suffering from house, and on waking, will not believe to the contrary until search",,,,,
Helleborus Niger,"it gets worse when hydrocephalus, post-scarlatinal or tubercular which develops",,,,,
Calcarea Phosphorica,i feel and reopen; delayed or complicated teething,,,,,
Borax,"i noticed before or after, acetic acid, vinegar, wine",,,,,
Ambra Grisea,"suffering from desire, which makes her anxious",,,,,
Argentum Nitricum,my problem is diseases due to defective accommodation,,,,,
Arum Triphyllum,"it hurts when in morning hoarseness and deafness,",,,,,
Headache and diarrhoea from jarring of ears,"my problem is nat.); sweets (sulph.); for ale, ice, acids, oranges, green fruit",,,,,
Lachesis,"but clothes cause an uneasiness, make her nervous",general,not specified,Allen,moderate,0.8
Lac Caninum,it gets worse when must hold them firmly when going up or down stairs (bry.),,,,,
Silicea,"my problem is tissues, calend., hep.)",,,,,
Kreosotum,"itching, so violent",general,not specified,Allen,moderate,0.8
Bacillinum,having when the family history of tubercular affections the best selected lately,,,,,
Petroselinum,it gets worse when assimilation,,,,,
Pyrogen,i have after apparent simillimum,,,,,
Theridion Curassavicum,seasickness of,general,not specified,Allen,moderate,0.8
Phosphorus,"having constipation: faeces slender, long, dry, lately",,,,,
Natrum Muriaticum,"i feel repeated in chronic cases without an intercurrent, called for by the",,,,,
Ferrum Metallicum,it hurts when without nausea,,,,,
Lach,i feel accustomed to it; is curative in the stronger higher potencies,,,,,
Sambucus Nigra,"- compare: cinch., chlor., ipec., meph., sulph",general,not specified,Allen,moderate,0.8
Tartar Emetic,"i feel c., sanic.)",,,,,
Bacillinum,"it hurts when calc., con., iod., nat.)",,,,,
Aconitum Napellus,"i feel hahnemann says: ""whenever aconite is chosen",,,,,
Causticum,i noticed becoming cold; from getting wet or bathing,,,,,
Plumbum,"it gets worse when skin of face,",,,,,
Apis Mellifica,it hurts when aggravation,,,,,
Hepar Sulphuris,"cold air, imagines he can feel the air if a door is open in the next",general,not specified,Allen,moderate,0.8
Agaricus Muscarius,my problem is aggravation,,,,,
Stramonium,i have of eyes and eyelids,,,,,
Acetic Acid,it hurts when marasmus and other wasting,,,,,
Hepar Sulphuris,middle of lower lip cracked (am,general,not specified,Allen,moderate,0.8
Phosphate of Magnesia,i feel organization; dark complexion,,,,,
Secale Cornutum,labor: pains irregular; too weak; feeble or ceasing; everything,general,not specified,Allen,moderate,0.8
Thlaspi Bursa Pastoris,"having delaying menses from uterine inertia; exhausting, scarcely recovers lately",,,,,
Causticum,i am experiencing keynotes by h.c,,,,,
Belladonna,boring the head into the,general,not specified,Allen,moderate,0.8
Ruta Graveolens,i noticed especially dislocations (symph.),,,,,
Sambucus Nigra,"i have oedmatous swelling in various parts of the body,",,,,,
Drosera Rotundifolia,it hurts when constriction and,,,,,
Sepia,pains extend from other parts to the,general,not specified,Allen,moderate,0.8
Caladium,keynotes by h.c,general,not specified,Allen,moderate,0.8
Secale Cornutum,sparks of fire were falling on the patient (ars.),general,not specified,Allen,moderate,0.8
Phosphate of Magnesia,it hurts when menses: early; flow,,,,,
Nux Vomica,i am experiencing spasmodic; cause urging to stool or urinate; < in back; prefers a,,,,,
Chelidonium Majus,"with a history of liver disease, or of a tubercular diathesis",general,not specified,Allen,moderate,0.8
Sabadilla,"headache: from too much thinking, too close application of",general,not specified,Allen,moderate,0.8
Nitric Acid,i feel ulcers: easily bleeding; in,,,,,
Calcarea Phosphorica,"i am experiencing m., psor.); diarrhoea",,,,,
Natrum Muriaticum,"- complementary: to, apis, acts well before and after it",general,not specified,Allen,moderate,0.8
Sanicula,"i have discharge from ear, tel.)",,,,,
Asarum Europaeum,i feel sensation as if ears were plugged up with some foreign,,,,,
Ferrum Metallicum,"i have suppressed intermittent (carbo v., cinch.)",,,,,
Crocus Sativus,"it gets worse when (sab., thuja, sulph.); with nausea and faintness",,,,,
Chamomilla,i am experiencing convulsions of,,,,,
Conium Maculatum,"having or stimulants, though persons susceptible to conium cannot take lately",,,,,
Calcarea Ostrearum,"profuse perspiration, mostly on back of head and neck, or",general,not specified,Allen,moderate,0.8
Natrum Sulphuricum,"i., dul.); rest; lying",general,not specified,Allen,moderate,0.8
Calcarea Arsenica,i feel the slightest emotion causes,,,,,
Pulsatilla,"having gradually, or tension much increases until very acute and then ""lets lately",,,,,
Ignatia,it gets worse when more he coughs; cough on standing still during a walk (ast,,,,,
Cantharides,"tenacious mucus in the air passages (bov., kali bi.);",general,not specified,Allen,moderate,0.8
Calcarea Arsenica,"i have well: after conium, in lymphatic, psoric or tubercular persons",,,,,
Sanicula,i noticed keynotes by h.c,,,,,
Violent corrosive itching of pudenda and vagina,"my problem is - kreosote is followed well by ars., phos., sulph., in",,,,,
Calcarea Phosphorica,"i am experiencing ac., kali phos.; to psor., in debility remaining",,,,,
Bacillinum,"my problem is or basilar meningitis, with threatened effusion; nocturnal",,,,,
Conium Maculatum,i noticed in tumors of mammae with,,,,,
Coca,it hurts when for the accustomed stimulants,,,,,
Bacillinum,"i have apis, hell., or sulph., though well selected, fail to improve",,,,,
Aethusa Cynapium,my problem is especially for children during dentition in hot summer weather;,,,,,
Helleborus Niger,"i noticed - compare: apis, apos., ars., bell., bry., dig., lach.,",,,,,
Borax,"i am experiencing canthus; tendency to ""wild hairs.""",,,,,
Antimony Crudum,"intestinal affections: from bread and pastry; acids, especially",general,not specified,Allen,moderate,0.8
Anthracinum,"i am experiencing pains of cancer, carbuncle or erysipelas when ars",,,,,
Ledum Palustre,"scratching and warmth of bed (puls., rhus)",general,not specified,Allen,moderate,0.8
Ambra Grisea,"i noticed - similar: to, act., asaf., coca, ign., mosch., phos.,",,,,,
Physostigma,from blur or film; objects mixed,general,not specified,Allen,moderate,0.8
Arsenic Album,"i noticed a - depressing, melancholic, disparing, indifferent",,,,,
Lachesis,"i noticed life, ""have never felt well since that time.""",,,,,
Dioscorea Villosa,i noticed paronychia (hep.),,,,,
Aconitum Napellus,it gets worse when perspiration,,,,,
Sulphur,it gets worse when at climacteric,,,,,
Millefolium,it gets worse when - compare: erecht,,,,,
Agaricus Muscarius,"i have intolerably; frostbite and all consequences of exposure to cold,",,,,,
Mercurius Dulcis,catarrhal inflammation of middle ear (kali m.),general,not specified,Allen,moderate,0.8
Euphrasia,profuse fluent coryza in morning with violent,general,not specified,Allen,moderate,0.8
Spongia Tosta,i feel headache or neuralgia; pains,,,,,
Tartar Emetic,of vaccination when thuja fails and silicea is not indicated,general,not specified,Allen,moderate,0.8
Lach,having aggravation lately,,,,,
Glonoine,my problem is with the pulse,,,,,
Chamomilla,"i am experiencing bor., bry., coff., puls., sulph",,,,,
Arsenic Album,i am experiencing aggravation,,,,,
Arsenic Album,it hurts when cannot rest in any place: changing places continually; wants to be,,,,,
Sulph,"it gets worse when - warm, dry weather, wrapping up; warm or hot",,,,,
Syphillinum,if about to be paralyzed; of apathy and indifference,general,not specified,Allen,moderate,0.8
Nux Vomica,"i have from smoking; and feels ""if i could only vomit i would be so much",,,,,
Ipecacuanha,"whooping-cough: child loses breath, turns pale, stiff and blue;",general,not specified,Allen,moderate,0.8
Arnica Montana,"it hurts when nervous, cannot bear pain; whole body over-sensitive (cham.,",,,,,
Sabina,"i feel itching and burning; exuberant granulations (thuja, nit",,,,,
Arnica Montana,having their profuse suppuration (calend.) lately,,,,,
Chamomilla,i am experiencing to get away from them; tearing down the legs; press upward,,,,,
Coffee Cruda,ailments: the bad effects of sudden emotions or,general,not specified,Allen,moderate,0.8
Ferrum Metallicum,having coagulates easily (fer lately,,,,,
Lac Caninum,cause (asaf.),general,not specified,Allen,moderate,0.8
Dioscorea Villosa,i am experiencing grasped and twisted by a powerful hand,,,,,
Lac Caninum,"i have glazed appearance of diphtheritic deposit, chancres and ulcers",,,,,
Opium,"i noticed - after anger of mother, cham., nux); from",,,,,
Phosphoric Acid,it gets worse when debility; after,,,,,
Tartar Emetic,"i noticed child at birth pale, breathless, gasping;",,,,,
Colchicum Autumnale,"it hurts when in large quantities; white mucus; ""scrapings of intestines"" (canth.,",,,,,
Calcarea Ostrearum,i feel reason or that people will observe her mental confusion (act.),,,,,
Glonoine,"i am experiencing evening when sitting before and open coal fire, or falling asleep",,,,,
Phosphorus,"weary of life, full of gloomy forebodings",general,not specified,Allen,moderate,0.8
Magnesia Carbonica,"having m., kreos., - rev lately",,,,,
Kali Carbonicum,having ac.); food easily gets into the lately,,,,,
Carbolic Acid,preparing acids),general,not specified,Allen,moderate,0.8
Sanguinaria,i am experiencing nasal polypi (sang,,,,,
Ruta Graveolens,"my problem is lameness after sprains, especially of wrists and ankles (chronic",,,,,
Allium Cepa,"i noticed acrid tears, bland and fluent coryza, euph.)",,,,,
Headache and diarrhoea from jarring of ears,difficult to wash out (mag,general,not specified,Allen,moderate,0.8
Aloe Socotrina,"my problem is lower portion of abdomen; excruciating, before and during stool;",,,,,
Sulphur,"having dry as if burnt (bry.); large, painful, child is afraid to have the lately",,,,,
Kali Bichromicum,"it hurts when (compare hyd., lys.)",,,,,
Mercurius Biniodide,having in evening and from warmth of bed; becomes pleasant on lately,,,,,
Lilium Tigrinum,"recovery after labor; nearly always with constipation, from",general,not specified,Allen,moderate,0.8
Cina,climacteric with profuse haemorrhages; acute diseases often result,general,not specified,Allen,moderate,0.8
Pa,it hurts when physicians who rely on the single remedy in,,,,,
Kali c,it hurts when keynotes by h.c,,,,,
Psorinum,my problem is ailments: from suppressed itch or other skin,,,,,
Hamamelis Virginica,"wounds: incised, lacerated, contused; injuries from",general,not specified,Allen,moderate,0.8
Graphites,"it gets worse when - at night, during and after menstruation",,,,,
Graphites,"having takes cold easily, lately",,,,,
Alumina,"it hurts when appetite; craving for starch, chalk, charcoal, cloves, coffee or tea",,,,,
Sanguinaria,having until he sits up in bed and passes flatus; circumscribed red cheeks; lately,,,,,
Arsenic Album,"i have moved from one bed to another, and lies now here now there",,,,,
Mercurius Dulcis,i feel deafness and catarrhal,,,,,
Rhus,bad effects of mercury or alcohol,general,not specified,Allen,moderate,0.8
Calcarea Ostrearum,i noticed indigestible things (alum.); aversion to meat,,,,,
Colchicum Autumnale,effusions; in rheumatism in warm weather,general,not specified,Allen,moderate,0.8
Argentum Metallicum,having emissions: after onanism; almost every night; without erection; lately,,,,,
Natrum Sulphuricum,"i feel sodium sulphate (naoso3,10aq)",,,,,
Psorinum,"i feel (painless, bar",,,,,
Calcarea Phosphorica,"i am experiencing fistula in ano,",,,,,
Natrum Carbonicum,"having bearing down as if everything would come out (agar., lil., mur., lately",,,,,
Lycopodium Clavatum,"suffering from wine, spiritous liquors; tabacco smoking and chewing (ars.)",,,,,
Glonoine,it hurts when head troubles: from working under gas-,,,,,
Sanicula,"suffering from color; like scrambled eggs; frothy, grass-green, turns green on",,,,,
Mercurius,"it hurts when leucorrhoea: acrid, burning,",,,,,
Selenium,suffering from coryza ending in diarrhoea,,,,,
Euphrasia,"i feel catarrhal affections of mucous membranes,",,,,,
Nux Moschata,"i noticed fatigue, must lie down after least exertion",,,,,
Zincum Metallicum,the flow ceases,general,not specified,Allen,moderate,0.8
Aloe Socotrina,"i noticed itch appears each year, as winter approaches (psor.)",,,,,
Capsicum,suffering from differentiate from,,,,,
Nux Moschata,i feel unconquerable sleep,,,,,
Sulphur,i noticed affections that have been treated by medicated soaps and washes;,,,,,
Arsenic Album,"i feel the greater the suffering, the greater the anguish, restlessness and",,,,,
Calcarea Ostrearum,"it gets worse when the constitutional remedy than phosphorus (compare, tub.)",,,,,
Sambucus Nigra,my problem is relieves ailments from abuse of arsenicum,,,,,
Veratrum Album,keynotes by h.c,general,not specified,Allen,moderate,0.8
Natrum Muriaticum,"great liability to take cold (cal., kali c.)",general,not specified,Allen,moderate,0.8
Plumbum,it gets worse when room for foetus in uterus; inability of uterus to expand; threatening,,,,,
The Publishers,"my problem is philadephia,",,,,,
Aurum Metallicum,and syphillis,general,not specified,Allen,moderate,0.8
Euphrasia,suffering from keynotes by h.c,,,,,
Skimmed Milk,"i feel vomiting; incessant, no relation to",,,,,
Ipecacuanha,having stool: grassy-green; of lately,,,,,
Equisetum Hyemale,"it hurts when sharp, burning, cutting pain in urethra",,,,,
Ignatia,"my problem is cannot bear tabacco; smoking, or being in",,,,,
Colchicum Autumnale,i am experiencing vigorous constitution; diseases of old people,,,,,
Spigelia,"it hurts when - compare: acon., ars., cact., dig",,,,,
Stramonium,"i have with excessive aversion to liquids (bell., lys.); spasmodic",,,,,
Lycopodium Clavatum,"it gets worse when m., col., mag",,,,,
Phytolacca,i have aggravation,,,,,
Eupatorium Perfoliatum,"it hurts when painful soreness of eyeballs; coryza,",,,,,
Phytolacca,"it hurts when - compare: kali i., its analogue",,,,,
Chamomilla,violent rheumatic pains drive him out of,general,not specified,Allen,moderate,0.8
Natrum Carbonicum,"it gets worse when effects of sunstroke; now, with the return of hot weather, suffers",,,,,
Sulphuric Acid,it hurts when in contusion and laceration of soft parts,,,,,
Camphora,measles and scarlatina when,general,not specified,Allen,moderate,0.8
Nux Moschata,"having become intolerably dry, especially when sleeping lately",,,,,
Lilium Tigrinum,i noticed full to bursting; inability to walk erect,,,,,
Tarentula,i noticed spine provokes spasmodic pain in chest and cardiac region,,,,,
Cicuta Virosa,"yellow scabs, on head and face",general,not specified,Allen,moderate,0.8
Tabacum,i have wants abdomen uncovered; relieves nausea and vomiting; coldness,,,,,
Picric Acid,suffering from burning along spine and great weakness of spine and back;,,,,,
Ammonium Carbonicum,it hurts when in diphtheria or scarlatina when the nose is,,,,,
Anthracinum,"my problem is haemorrhages: blood oozes from mouth,",,,,,
Sabadilla,suffering from paroxysyms; followed by lachrymation; copious watery coryza;,,,,,
Plumbum,having lassitude; faints on going into a room lately,,,,,
Dulcamara,i am experiencing exposed to cold,,,,,
Platina,"i am experiencing things produce profound vexation (ign., staph.); remains a long",,,,,
Bacillinum,now on the borderland of insanity,general,not specified,Allen,moderate,0.8
Sulphuric Acid,it gets worse when of heat in climacteric years,,,,,
Aconitum Napellus,it gets worse when of inflammation before localization takes place,,,,,
Diseases occurring in winter,"having - follows well: after, bell., hep., lach., sulph., but lately",,,,,
Carbo Animalis,my problem is diseases of,,,,,
Ruta Graveolens,having all parts of lately,,,,,
Phosphorus,"i noticed left or painful side; during a thunderstorm; weather changes, either",,,,,
Cactus Grandiflorus,i am experiencing (cactaceae),,,,,
Psorinum,"i feel intolerable itching, or frightful dreams of robbers, danger, etc (nat",,,,,
Arnica Montana,"i feel diarrhoea, brom.)",,,,,
Staphisagria,"i am experiencing bulb., either",,,,,
Silicea,it gets worse when crippled nails on fingers and toes (ant,,,,,
Sabina,"it gets worse when haemorrhage from uterus; flow partly pale red, partly clotted;",,,,,
Generally better from warmth,keynotes by h.c,general,not specified,Allen,moderate,0.8
Sanicula,"while, gray, viscid fluid (graph., psor.)",general,not specified,Allen,moderate,0.8
Nitric Acid,"i am experiencing - during and after, mer.)",,,,,
Chelidonium Majus,"it gets worse when tongue coated thickly yellow, with",,,,,
Iodum,my problem is glands - breasts may dwindle and become flabby,,,,,
Allium Cepa,i noticed amputation; burning and stinging pains,,,,,
Mercurius,"mammae painful, as if they would ulcerate at every menstrual",general,not specified,Allen,moderate,0.8
Croton Tiglium,"it hurts when the bowels are moved as if by spasmodic jerks,",,,,,
Platina,i noticed sexual organs exceedingly sensitive; cannot bear the napkin to,,,,,
Hamamelis Virginica,"i noticed to venous haemorrhage from every orifice of the body; nose, lungs,",,,,,
Sambucus Nigra,it hurts when keynotes by h.c,,,,,
Tarentula,by rubbing head against pillow,general,not specified,Allen,moderate,0.8
Lycopodium Clavatum,i have diphtheria;,,,,,
Collinsonia Canadensis,it hurts when palpitation; in patients subject to piles and indigestion;,,,,,
Lycopodium Clavatum,"from fright, anger, mortification, or vexation with reserved",general,not specified,Allen,moderate,0.8
Terebinth,"i have diphtheria, scarlatina, typhoid",,,,,
Benzoic Acid,"having - similar: to, cop., nitr., fer., thuja, especially in lately",,,,,
Graphites,"i noticed cracks or fissures in ends of fingers, nipples, labial",,,,,
Plumbum,"i have adapted to diseases from spinal origin (phos., pic",,,,,
Bacillinum,it gets worse when school-girl's headache: <,,,,,
Lac Caninum,"suffering from forgetful, absent-minded; makes purchases and walks away",,,,,
Silicea,"having compare: hep., pic lately",,,,,
Borax,having amelioration lately,,,,,
Opium,it gets worse when deep stetorous respiration both on inhalation,,,,,
Sepia,extremes of heat or cold; riding in a carriage; while kneeling at,general,not specified,Allen,moderate,0.8
Platina,it hurts when time in the sulks,,,,,
Arsenic Album,"anxious fear of death; thinks it useless to take medicine, is",general,not specified,Allen,moderate,0.8
Cantharides,"i noticed nocturnal emission (led., mer., petr.)",,,,,
Arnica Montana,"i have loaded, faeces will not come away; ribbon like stools from",,,,,
Hypericum Perforatum,"nails, needles, pins, splinters (led.); from rat-bites; prevents lock-",general,not specified,Allen,moderate,0.8
Magnesia Muratica,"i feel every six weeks, in forehead and around the eyes; as if it would",,,,,
Calcarea Phosphorica,oozing of bloody fluid from,general,not specified,Allen,moderate,0.8
Baryta Carbonica,i have painful side; after meals; washing affected parts,,,,,
Euphrasia,i feel profuse fluent coryza in morning with violent,,,,,
Spigelia,"noon, declines till sunset",general,not specified,Allen,moderate,0.8
Podophyllum,i have after parturition; with subinvolution,,,,,
Bromium,"i feel cured in croup after failure of iod., phos., hep., spong.; especially",,,,,
Drosera Rotundifolia,it gets worse when whooping-cough with violent paroxysms which follow each other,,,,,
Kali Bromatum,"i noticed spasms: from fright, anger or",,,,,
Syphillinum,"my problem is - compare: aur., asaf., kali i., merc., phyt., in bone",,,,,
Nux Vomica,"i noticed bedtime, and wakes at 3 or 4 a",,,,,
Skimmed Milk,"it hurts when protracted suffering from loss of sleep (coc., nit",,,,,
Pa,it gets worse when in preparing the second edition for the press the,,,,,
Thuja Occidentalis,"distressing, burning pain in left ovarian region when",general,not specified,Allen,moderate,0.8
Coca,it hurts when for persons who are wearing out under the physical and mental,,,,,
Ratanhia,i noticed (polygalaceae.),,,,,
Graphites,"retarding the flow of milk; cancer of breast, from old scars and",general,not specified,Allen,moderate,0.8
Psorinum,"i have asthma, dyspnoea: < in open air,",,,,,
Borax,"i noticed between the catamenia (compare, bov., con.)",,,,,
Bromium,i am experiencing is the former cures the blue-eyed and the latter the black-eyed,,,,,
Agaricus Muscarius,"having intolerable (compare, lilium, murex, sepia) lately",,,,,
Kali Carbonicum,between the upper eyelids and eyebrows,general,not specified,Allen,moderate,0.8
Sabina,my problem is (coniferae.),,,,,
Rumex Crispus,"skin: itching of various parts; < by cold, > by warmth;",general,not specified,Allen,moderate,0.8
Arnica Montana,injuries with blunt instruments (symph.),general,not specified,Allen,moderate,0.8
Opium,having screaming before or during a lately,,,,,
Lycopodium Clavatum,"it hurts when children, weak,",,,,,
Trillium Pendulum,"i noticed haemorrhage: copious, both active and passive, usually bright red;",,,,,
Graphites,"with burning, stinging pain; commencing on right side, going to",general,not specified,Allen,moderate,0.8
Bryonia Alba,i noticed summer; from chilling when overheated; kicks the covers off; from,,,,,
Aurum Metallicum,i am experiencing great melancholy; < at menstrual period,,,,,
Sanguinaria,"headache, > by perfect quiet in a dark room (""tired headache"" from",general,not specified,Allen,moderate,0.8
Lyssin,"sore throat, constant desire to swallow (lac",general,not specified,Allen,moderate,0.8
Sarsaparilla,"having emaciation: skin becomes shriveled or lies in folds (abrot., iod., lately",,,,,
Lilium Tigrinum,rapid heart-,general,not specified,Allen,moderate,0.8
Lachesis,fever annually returning; paroxysm every spring,general,not specified,Allen,moderate,0.8
Antimony Crudum,i have gastric and,,,,,
Headache and diarrhoea from jarring of ears,"having heavy, legs give way lately",,,,,
